********************************************************************************
product = WebSphere Application Server 17.0.0.1 (wlp-1.0.16.cl170120170227-0220)
wlp.install.dir = /home/leo/WorkSpaceSTS/zoan/target/liberty/wlp/
java.home = /usr/lib/jvm/java-8-openjdk-amd64/jre
java.version = 1.8.0_131
java.runtime = OpenJDK Runtime Environment (1.8.0_131-8u131-b11-0ubuntu1.16.04.2-b11)
os = Linux (4.4.0-21-generic; amd64) (es_VE)
process = 25660@leo
********************************************************************************
[06/06/17 16:14:44:277 VET] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0001I: El servidor defaultServer se ha lanzado.
[06/06/17 16:14:44:388 VET] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0100I: Este producto tiene licencia para el desarrollo y uso limitado en producción. Los términos completos de la licencia pueden verse aquí: https://public.dhe.ibm.com/ibmdl/export/pub/software/websphere/wasdev/license/base_ilan/ilan/17.0.0.1/lafiles/es.html
[06/06/17 16:14:53:072 VET] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           I CWWKE0002I: El kernel se ha iniciado después de 12,375 segundos
[06/06/17 16:14:56:458 VET] 00000016 com.ibm.ws.kernel.feature.internal.FeatureManager            I CWWKF0007I: La actualización de características se ha iniciado.
[06/06/17 16:15:07:780 VET] 0000000f com.ibm.ws.security.ready.internal.SecurityReadyServiceImpl  I CWWKS0007I: El servicio de seguridad se está iniciando...
[06/06/17 16:15:10:697 VET] 0000000f ibm.ws.security.authentication.internal.jaas.JAASServiceImpl I CWWKS1123I: Se ha activado el plugin de autenticación colectivo con el nombre de clase NullCollectiveAuthenticationPlugin. 
[06/06/17 16:15:10:800 VET] 00000018 com.ibm.ws.security.token.ltpa.internal.LTPAKeyInfoManager   I CWWKS4103I: Creando las claves LTPA. Esto puede tardar unos segundos.
[06/06/17 16:15:12:231 VET] 00000018 com.ibm.ws.security.token.ltpa.internal.LTPAKeyInfoManager   A CWWKS4104A: Las claves LTPA se han creado en 1,431 segundos. Archivo de claves LTPA: /home/leo/WorkSpaceSTS/zoan/target/liberty/wlp/usr/servers/defaultServer/resources/security/ltpa.keys
[06/06/17 16:15:12:261 VET] 00000018 com.ibm.ws.security.token.ltpa.internal.LTPAKeyCreateTask    I CWWKS4105I: La configuración de LTPA estará lista después de 1,894 segundos.
[06/06/17 16:15:13:106 VET] 0000000f com.ibm.ws.app.manager.internal.monitor.DropinMonitor        A CWWKZ0058I: Supervisando aplicaciones de dropins. 
[06/06/17 16:15:14:027 VET] 00000018 com.ibm.ws.tcpchannel.internal.TCPChannel                    I CWWKO0219I: El canal TCP defaultHttpEndpoint se ha iniciado y ahora está a la escucha de solicitudes en el host *  (IPv6) puerto 9080.
